Company,new_foreign_worker_count
JUNIPER NETWORKS,105
DELOITTE CONSULTING LLP,109
HCL AMERICA INC.,111
"TWITTER, INC.",112
ADOBE SYSTEMS INCORPORATED,113
"INTEL MOBILE COMMUNICATIONS, INC.",120
"PACPIZZA,LLC",136
SANDISK CORPORATION,142
TESLA MOTORSINC,148
UBER TECHNOLOGIES INC.,156
"WAL-MART ASSOCIATES, INC.",168
"A2Z DEVELOPMENT CENTER, INC.",174
EBAY INC.,177
MICROSOFT CORPORATION,184
INTUIT,199
NVIDIA CORPORATION,217
"PAYPAL, INC.",228
SYMANTEC CORPORATION,233
BROADCOM CORPORATION,254
"VMWARE, INC.",274
LINKEDIN CORPORATION,337
SALESFORCE.COM,351
"ORACLE AMERICA, INC.",581
"FACEBOOK, INC.",606
"CISCO SYSTEMS, INC.",705
YAHOO! INC.,709
INTEL CORPORATION,846
APPLE INC.,971
GOOGLE INC.,1473